variant,variant_label,phase,n,score_mean,score_std,score_ci95
dqn,DQN baseline,early: 10k-250k,4,2.6425,1.2319776783692142,1.9600764862854199
dqn,DQN baseline,middle: 260k-600k,4,13.94142857142857,1.4899605071696262,2.3705271669068755
dqn,DQN baseline,late: 610k-1M,4,26.469375,0.9217202553739765,1.4664569262999967
dqn_no_target,DQN without target network,early: 10k-250k,4,11.1685,1.4334614283846872,2.280637132560037
dqn_no_target,DQN without target network,middle: 260k-600k,4,22.2225,0.3406284208465806,0.5419398175669098
dqn_no_target,DQN without target network,late: 610k-1M,4,26.189687499999998,0.4027747186186493,0.640814577322271
dqn_no_replay,DQN without replay buffer,early: 10k-250k,4,4.3035,2.3456310451560793,3.7318989928433224
dqn_no_replay,DQN without replay buffer,middle: 260k-600k,4,5.0532142857142865,8.412342032358634,13.384036173482587
dqn_no_replay,DQN without replay buffer,late: 610k-1M,4,5.945937499999999,10.720252221020347,17.05592128364337
double_dqn,Double DQN,early: 10k-250k,4,2.5625,1.0059560957947753,1.6004761484094874
double_dqn,Double DQN,middle: 260k-600k,4,11.96857142857143,0.9194371244681938,1.4628244650288964
double_dqn,Double DQN,late: 610k-1M,4,26.6796875,0.3870217142379331,0.6157515473525516
dueling_dqn,Dueling DQN,early: 10k-250k,4,2.2605,2.1150800615264345,3.365092377888557
dueling_dqn,Dueling DQN,middle: 260k-600k,4,15.741428571428571,1.4084134944782993,2.240785869714974
dueling_dqn,Dueling DQN,late: 610k-1M,4,27.775937499999998,0.573174070963613,0.9119199469031082
double_dueling_dqn,Double + Dueling DQN,early: 10k-250k,4,2.9665000000000004,1.3555902773330886,2.1567441312369438
double_dueling_dqn,Double + Dueling DQN,middle: 260k-600k,4,11.629999999999999,1.9200155895058713,3.054744802903841
double_dueling_dqn,Double + Dueling DQN,late: 610k-1M,4,27.163125,0.7608797676593422,1.2105597103460133
